SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,L,A,B,X,Y,Z
359,100,20,70,0,50.73,-21.7,3.39,14.5,19.03,14.35
360,100,40,70,0,47.38,-13.76,0.32,13.47,16.31,13.33
361,100,70,70,0,43.77,-5.26,-2.68,12.4,13.68,12.19
362,100,100,70,0,41.07,1.27,-4.28,11.66,11.91,11.16
363,0,0,100,0,78.82,-2.32,59.54,51.78,54.62,11.58
364,0,10,100,0,74.83,3.91,53.91,47.69,48.01,11.17
365,0,20,100,0,70.96,10.04,48.38,43.98,42.13,10.8
366,0,40,100,0,64.45,20.38,39.34,38.17,33.36,10.11
367,0,70,100,0,57.51,31.97,30,32.74,25.45,9.34
368,0,100,100,0,52.42,41.31,23.69,29.32,20.52,8.64
369,10,0,100,0,74.97,-7.02,52.57,44.05,48.23,11.69
370,10,10,100,0,71.31,-1.09,47.54,40.76,42.64,11.27
371,10,20,100,0,67.67,4.81,42.45,37.65,37.53,10.88
372,10,40,100,0,61.66,14.71,34.15,32.92,30.01,10.23
373,10,70,100,0,55.26,25.87,25.65,28.48,23.18,9.47
374,10,100,100,0,50.5,34.82,19.73,25.62,18.84,8.82
375,20,0,100,0,71.24,-11.5,45.86,37.36,42.53,11.78
376,20,10,100,0,67.82,-5.77,41.25,34.66,37.73,11.36
377,20,20,100,0,64.51,-0.2,36.67,32.19,33.44,10.99
378,20,40,100,0,58.97,9.3,29.2,28.35,27,10.33
379,20,70,100,0,53.05,20.01,21.4,24.72,21.09,9.6
380,20,100,100,0,48.68,28.61,15.9,22.4,17.33,9.01
381,40,0,100,0,65.34,-18.63,35.25,28.22,34.48,11.93
382,40,10,100,0,62.35,-13.31,31.34,26.33,30.81,11.51
383,40,20,100,0,59.48,-8.14,27.56,24.62,27.55,11.13
384,40,40,100,0,54.68,0.81,21.34,21.99,22.62,10.47
385,40,70,100,0,49.56,10.76,14.72,19.47,18.05,9.8
386,40,100,100,0,45.81,18.69,10,17.88,15.13,9.29
387,70,0,100,0,59.01,-26.11,24.15,20.25,27.04,12
388,70,10,100,0,56.59,-21.19,21.06,19.14,24.5,11.63
389,70,20,100,0,54.17,-16.26,17.98,18.08,22.14,11.27
390,70,40,100,0,50.23,-8.12,13.02,16.46,18.61,10.68
391,70,70,100,0,45.96,1.01,7.79,14.86,15.24,10.02
392,70,100,100,0,42.81,8.15,4.07,13.81,13.03,9.5
393,100,0,100,0,53.77,-31.96,15.46,14.98,21.76,11.88
394,100,10,100,0,51.82,-27.2,12.89,14.38,19.99,11.61
395,100,20,100,0,49.92,-22.6,10.36,13.8,18.35,11.37
396,100,40,100,0,46.7,-15.02,6.33,12.82,15.79,10.87
